FunID1,FunID2,Type
10601019,11627705,T1
11627705,16924659,T1
11627705,17791385,T1
11627705,13834118,T1
10656323,22046596,T1
8389315,22046596,T1
10169905,22046596,T1
651715,672106,T1
150478,651715,T1
335223,651715,T1
606859,651715,T1
651715,755203,T1
651715,792644,T1
78966,651715,T1
33845,651715,T1
567476,651715,T1
638963,651715,T1
651715,810724,T1
651715,850680,T1
651715,839385,T1
288978,651715,T1
586503,651715,T1
651715,934048,T1
116038,651715,T1
651715,804637,T1
346058,651715,T1
534739,651715,T1
413562,651715,T1
651715,810884,T1
536614,651715,T1
651715,822452,T1
601908,651715,T1
651715,811157,T1
536222,651715,T1
651715,814473,T1
651715,950938,T1
651715,896372,T1
40044,651715,T1
651715,662799,T1
597134,651715,T1
651715,854262,T1
649595,651715,T1
651715,801395,T1
651715,665978,T1
621362,651715,T1
189963,651715,T1
258490,651715,T1
651715,653541,T1
624490,651715,T1
636262,651715,T1
397240,651715,T1
651715,908793,T1
651715,841724,T1
241286,651715,T1
414463,651715,T1
614390,651715,T1
126187,651715,T1
651715,708766,T1
46158,651715,T1
651715,832329,T1
137780,651715,T1
305886,651715,T1
339301,651715,T1
332635,651715,T1
213301,651715,T1
651715,946865,T1
44949,651715,T1
10851,651715,T1
223631,651715,T1
330216,651715,T1
88047,651715,T1
530882,651715,T1
300397,651715,T1
168607,651715,T1
651715,820905,T1
228925,651715,T1
651715,916271,T1
651715,896701,T1
47337,651715,T1
651715,668660,T1
651715,949221,T1
651715,840277,T1
292999,651715,T1
651715,751335,T1
161844,651715,T1
470160,651715,T1
92552,651715,T1
651715,793635,T1
370982,651715,T1
651715,746544,T1
93208,651715,T1
651715,777609,T1
302513,651715,T1
651715,689689,T1
272875,651715,T1
303331,651715,T1
651715,896284,T1
130757,651715,T1
184741,651715,T1
567313,651715,T1
651715,709584,T1
79355,651715,T1
651715,813913,T1
210587,651715,T1
150478,672106,T1
335223,672106,T1
606859,672106,T1
672106,755203,T1
672106,792644,T1
78966,672106,T1
33845,672106,T1
567476,672106,T1
638963,672106,T1
672106,810724,T1
672106,850680,T1
672106,839385,T1
288978,672106,T1
586503,672106,T1
672106,934048,T1
116038,672106,T1
672106,804637,T1
346058,672106,T1
534739,672106,T1
413562,672106,T1
672106,810884,T1
536614,672106,T1
672106,822452,T1
601908,672106,T1
672106,811157,T1
536222,672106,T1
672106,814473,T1
672106,950938,T1
672106,896372,T1
40044,672106,T1
662799,672106,T1
597134,672106,T1
672106,854262,T1
649595,672106,T1
672106,801395,T1
665978,672106,T1
621362,672106,T1
189963,672106,T1
258490,672106,T1
653541,672106,T1
624490,672106,T1
636262,672106,T1
397240,672106,T1
672106,908793,T1
672106,841724,T1
241286,672106,T1
414463,672106,T1
614390,672106,T1
126187,672106,T1
672106,708766,T1
46158,672106,T1
672106,832329,T1
137780,672106,T1
305886,672106,T1
339301,672106,T1
332635,672106,T1
213301,672106,T1
672106,946865,T1
44949,672106,T1
10851,672106,T1
223631,672106,T1
330216,672106,T1
88047,672106,T1
530882,672106,T1
300397,672106,T1
168607,672106,T1
672106,820905,T1
228925,672106,T1
672106,916271,T1
672106,896701,T1
47337,672106,T1
668660,672106,T1
672106,949221,T1
672106,840277,T1
292999,672106,T1
672106,751335,T1
161844,672106,T1
470160,672106,T1
92552,672106,T1
672106,793635,T1
370982,672106,T1
672106,746544,T1
93208,672106,T1
672106,777609,T1
302513,672106,T1
672106,689689,T1
272875,672106,T1
303331,672106,T1
672106,896284,T1
130757,672106,T1
184741,672106,T1
567313,672106,T1
672106,709584,T1
79355,672106,T1
672106,813913,T1
210587,672106,T1
3422759,16540473,T1
3422759,3597316,T1
266990,3422759,T1
3422759,19849797,T1
3422759,4385640,T1
3422759,23069799,T1
3422759,18741084,T1
3422759,17097179,T1
3419825,3422759,T1
3422759,20085210,T1
8070379,19205402,T1
21291602,22207779,T1
1699613,22207779,T1
13292288,22207779,T1
16397911,22207779,T1
16474825,22985809,T1
2461169,12614306,T1
2461169,8793826,T1
2461169,18623183,T1
2461169,18269745,T1
2461169,7760801,T1
2461169,12678589,T1
2461169,21870537,T1
2461169,4623013,T1
2461169,11548511,T1
831650,2461169,T1
2461169,17456566,T1
2461169,3768629,T1
2461169,19142737,T1
2461169,6814855,T1
2461169,19584878,T1
2461169,13028547,T1
2461169,11319480,T1
2461169,16466520,T1
2461169,16388708,T1
2461169,16224018,T1
2461169,14183084,T1
367771,2461169,T1
2461169,2711645,T1
2461169,12172485,T1
2461169,14317426,T1
1458629,2461169,T1
2461169,15571542,T1
250596,2461169,T1
2461169,10287987,T1
2461169,6244937,T1
2461169,6061403,T1
1421558,2461169,T1
2461169,13902981,T1
2461169,8612648,T1
2461169,22246375,T1
2461169,13783899,T1
2461169,7132186,T1
2461169,9693857,T1
2461169,18731110,T1
1966263,2461169,T1
2461169,8778962,T1
411631,2461169,T1
2461169,19912848,T1
2461169,21488869,T1
2461169,2532322,T1
2461169,16351776,T1
2461169,4518934,T1
948487,2461169,T1
2461169,8625347,T1
2461169,4471001,T1
2461169,22993368,T1
2461169,9088423,T1
5157858,9954926,T1
8793826,12614306,T1
12614306,18623183,T1
12614306,18269745,T1
7760801,12614306,T1
12614306,12678589,T1
